audios,luna,sofia
abaixe_bracos,3.611,4.411
ajuda,1.916,1.698
apresentacao,1.962,2.117
checar_identidade0,9.517,9.549
checar_identidade1,7.129,7.564
comecar,1.602,1.632
contagem_ok,4.110,4.058
continuar,2.357,2.820
deteccao_ok,2.554,2.558
encontrar_voce,3.067,3.374
entrada10,1.927,2.271
entrada4,1.974,2.357
entrada5,2.090,2.208
entrada6,2.287,2.429
entrada7,2.148,2.360
entrada8,1.881,2.227
entrada9,1.892,2.095
instrucoes_contagem,35.260,36.211
instrucoes_senha,22.651,22.957
muito_dificil,1.66,1.872
nao_entendo,5.213,4.433
olhar_ok,3.599,4.366
perdi_voce,2.566,3.195
pose_deteccao0,7.012,7.322
pose_deteccao1,7.384,7.807
posicao_contagem0,6.385,5.668
posicao_contagem1,4.087,4.234
preencher_senha,5.608,4.785
preencher_valores,4.505,5.294
preste_atencao0,2.844,2.823
preste_atencao1,3.680,3.732
quarto,2.159,2.379
repetir_instrucoes,6.931,7.488
repetir_senha,4.345,4.300
senha_ok,3.320,3.220
